WSDM,ACM SIGIR,505,80,15.8,54,top,8
ICWSM (2018),AAAI,295,48,16.2,51,,10
CIKM,ACM SIGIR/SIGWEB,855,171,20,43,,10
WebSci (2018),ACM SIGWEB,113,30,26.5,26,,8
JCDL,ACM SIGIR/IEEE CS,77,23,29.9,20,,10
ICWE,-,139,20,14.4,18,,18
SIGCOMM,ACM SIGCOMM,250,36,14.4,67,top,12
NSDI,Usenix,254,46,18.1,62,top,12
MobiCom,ACM SIGMOBILE,186,35,18.8,45,top,12
MobiSys,ACM SIGMOBILE,188,34,18.1,47,top,12
IMC,ACM SIGCOMM,179,42,23.5,46,top,13
CoNEXT,ACM SIGCOMM,171,31,18.1,35,,12
INFOCOM,IEEE ComSoc,1395,292,20.9,80,,8
NOMS,IEEE ComSoc/IFIP,213,54,25.4,25,,8
PAM,,87,20,23,25,,12
ICNP,IEEE CS,201,39,19.4,23,,10
Networking,IFIP,150,43,28.7,23,,9
IM,,154,44,28.6,22,,8
CNSM,IEEE CS,116,17,14.7,21,,9
MASCOTS,IEEE CS,84,20,23.8,19,,10
SenSys,ACM SIGMOBILE,119,21,17.6,29,,12
MobiHoc,ACM SIGMOBILE,170,27,15.9,26,,10
MASS,IEEE CS,134,40,29.9,21,,9
MSWiM,ACM SIGSIM,142,29,20.4,15,,8
PLDI,ACM SIGPLAN,322,47,14.6,50,top,12
POPL,ACM SIGPLAN,282,64,22.7,46,top,12
OOPSLA,ACM SIGPLAN,223,66,29.5,37,top,20
PPoPP,ACM SIGPLAN,132,29,21.9,37,,11
ICFP (2014),ACM SIGPLAN,85,28,32.9,27,,24
CGO,ACM SIGPLAN,114,26,22.8,27,,10
ESOP,ETAPS,112,36,32.1,26,,25
ECOOP,AITO,81,27,33.3,24,,25
GPCE,ACM SIGPLAN,56,18,32,0,,12
ICRA,IEEE RAS,2289,939,41.0,71,,6
IROS,IEEE RAS/RSJ,2164,970,44.8,68,,6
RSS,RSS Foundation,189,75,39.7,53,,9
ICSE,ACM SIGSOFT/IEEE CS,415,68,16.4,68,top,12
FSE,ACM SIGSOFT,295,72,24.4,43,top,12
ASE,ACM SIGSOFT/IEEE CS,314,65,20.7,31,top,12
MSR,ACM SIGSOFT/IEEE CS,121,37,30.6,39,,12
ISSTA,ACM SIGSOFT,118,31,26.3,31,,12
ICSME,IEEE CS,150,42,28.0,29,,12
ICST,IEEE CS,135,36,26.7,29,,12
MODELS,ACM SIGSOFT/IEEE CS,68,17,25.0,26,,11
SANER,IEEE CS,135,34,25.2,26,,12
SPLC,-,49,15,30.6,25,,10
