Information Systems,Elsevier,106,35,,10
Data & Knowledge Engineering,Elsevier,31,26,,10
IEEE Trans. on Knowledge and Data Engineering (TKDE),IEEE CS,193,77,,10
ACM Transactions on Database Systems (ACM TODS),ACM,,,,10
GeoInformatica,Springer,,,,10
Transactions in GIS (Trans. GIS),,,,10
