2013,JCDL,"A relevance feedback approach for the author name disambiguation problem.",UFMG; UNICAMP,Thiago A. Godoi; Ricardo da Silva Torres; Ariadne M. B. R. Carvalho; Marcos André Gonçalves; Anderson A. Ferreira; Weiguo Fan; Edward A. Fox,http://doi.acm.org/10.1145/2467696.2467709,null
2013,JCDL,"Aggregating productivity indices for ranking researchers across multiple areas.",UFMG,Harlley Lima; Thiago H. P. Silva; Mirella M. Moro; Rodrygo L. T. Santos; Wagner Meira Jr.; Alberto H. F. Laender,http://doi.acm.org/10.1145/2467696.2467715,null
2014,JCDL,"Characterizing scholar popularity: A case study in the Computer Science research community.",UFMG,Glauber D. Gonçalves; Flavio Figueiredo; Jussara M. Almeida; Marcos André Gonçalves,https://doi.org/10.1109/JCDL.2014.6970151,null
2014,JCDL,"Combining domain-specific heuristics for author name disambiguation.",UFMG,Alan Filipe Santana; Marcos André Gonçalves; Alberto H. F. Laender; Anderson A. Ferreira,https://doi.org/10.1109/JCDL.2014.6970165,null
2014,JCDL,"Community-based endogamy as an influence indicator.",UFMG,Thiago H. P. Silva; Mirella M. Moro; Ana Paula Couto da Silva; Wagner Meira Jr.; Alberto H. F. Laender,https://doi.org/10.1109/JCDL.2014.6970152,null
2014,JCDL,"Disambiguating publication venue titles using association rules.",UFLA,Denilson Alves Pereira; Eduardo Emanuel Braga da Silva; Ahmed A. A. Esmin,https://doi.org/10.1109/JCDL.2014.6970153,null
2014,JCDL,"Quality assessment of collaborative content with minimal information.",UFMG,Daniel Hasan Dalip; Harlley Lima; Marcos André Gonçalves; Marco Cristo; Pável Calado,https://doi.org/10.1109/JCDL.2014.6970169,null
2016,JCDL,"Early Prediction of Scholar Popularity.",UFMG,Masoumeh Nezhadbiglari; Marcos André Gonçalves; Jussara M. Almeida,http://doi.acm.org/10.1145/2910896.2910905,null
2017,JCDL,"Classifying Short Unstructured Data Using the Apache Spark Platform.",UFLA,Eduardo P. S. Castro; Saurabh Chakravarty; Eric Williamson; Denilson Alves Pereira; Edward A. Fox,https://doi.org/10.1109/JCDL.2017.7991567,null
2013,SIGIR,"Exploiting user feedback to learn to rank answers in q&a forums: a case study with stack overflow.",UFMG,Daniel Hasan Dalip; Marcos André Gonçalves; Marco Cristo; Pável Calado,http://doi.acm.org/10.1145/2484028.2484072,top
2013,SIGIR,"Fast document-at-a-time query processing using two-tier indexes.",UFAM,Cristian Rossi; Edleno Silva de Moura; André Luiz da Costa Carvalho; Altigran Soares da Silva,http://doi.acm.org/10.1145/2484028.2484085,top
2014,SIGIR,"Economically-efficient sentiment stream analysis.",UFMG,Roberto Lourenço de Oliveira Jr.; Adriano Veloso; Adriano C. M. Pereira; Wagner Meira Jr.; Renato Ferreira; Srinivasan Parthasarathy 0001,http://doi.acm.org/10.1145/2600428.2609612,top
2015,SIGIR,"An Efficient and Scalable MetaFeature-based Document Classification Approach based on Massively Parallel Computing.",UFMG; UFG,Sérgio D. Canuto; Marcos André Gonçalves; Wisllay M. V. dos Santos; Thierson Couto Rosa; Wellington Martins,http://doi.acm.org/10.1145/2766462.2767743,top
2015,SIGIR,"BROOF: Exploiting Out-of-Bag Errors, Boosting and Random Forests for Effective Automated Classification.",UFSJ; UFMG,Thiago Salles; Marcos André Gonçalves; Victor Rodrigues; Leonardo C. da Rocha,http://doi.acm.org/10.1145/2766462.2767747,top
2016,SIGIR,"Generalized BROOF-L2R: A General Framework for Learning to Rank Based on Boosting and Random Forests.",UFMG,Clebson C. A. de Sá; Marcos André Gonçalves; Daniel Xavier de Sousa; Thiago Salles,http://doi.acm.org/10.1145/2911451.2911540,top
2017,SIGIR,"Intent-Aware Semantic Query Annotation.",UFMG,Rafael Glater; Rodrygo L. T. Santos; Nivio Ziviani,http://doi.acm.org/10.1145/3077136.3080825,top
2017,SIGIR,"Stacking Bagged and Boosted Forests for Effective Automated Classification.",UFMG,Raphael R. Campos; Sérgio D. Canuto; Thiago Salles; Clebson C. A. de Sá; Marcos André Gonçalves,http://doi.acm.org/10.1145/3077136.3080815,top
2013,WSDM,"Using early view patterns to predict the popularity of youtube videos.",UFMG,Henrique Pinto; Jussara M. Almeida; Marcos André Gonçalves,http://doi.acm.org/10.1145/2433396.2433443,null
2014,WSDM,"Sentiment analysis on evolving social streams: how self-report imbalances can help.",UFMG,Pedro Henrique Calais Guerra; Wagner Meira Jr.; Claire Cardie,http://doi.acm.org/10.1145/2556195.2556261,null
2015,WSDM,"On Tag Recommendation for Expertise Profiling: A Case Study in the Scientific Domain.",UFMG,Isac S. Ribeiro; Rodrygo L. T. Santos; Marcos André Gonçalves; Alberto H. F. Laender,http://doi.acm.org/10.1145/2684822.2685320,null
2016,WSDM,"Exploiting New Sentiment-Based Meta-level Features for Effective Sentiment Analysis.",UFMG,Sérgio D. Canuto; Marcos André Gonçalves; Fabrício Benevenuto,http://doi.acm.org/10.1145/2835776.2835821,null
2013,WWW,"Psychological maps 2.0: a web engagement enterprise starting in London.",UFMG,Daniele Quercia; João Paulo Pesce; Virgílio A. F. Almeida; Jon Crowcroft,http://dl.acm.org/citation.cfm?id=2488481,top
2013,WWW,"The self-feeding process: a unifying model for communication dynamics in the web.",UFMG,Pedro Olmo Stancioli Vaz de Melo; Christos Faloutsos; Renato Assunção; Antonio Alfredo Ferreira Loureiro,http://dl.acm.org/citation.cfm?id=2488503,top
2016,WWW,"TribeFlow: Mining & Predicting User Trajectories.",UFMG,Flavio Figueiredo; Bruno Ribeiro 0001; Jussara M. Almeida; Christos Faloutsos,http://doi.acm.org/10.1145/2872427.2883059,top
2018,WWW,"A Feature-Oriented Sentiment Rating for Mobile App Reviews.",UFSJ; UFMG,Washington Luiz; Felipe Viegas; Rafael Odon de Alencar; Fernando Mourão; Thiago Salles; Dárlinton Carvalho; Marcos André Gonçalves; Leonardo C. da Rocha,http://doi.acm.org/10.1145/3178876.3186168,top
