ACM Transactions on the Web (TWEB),ACM,26,24,top,10
ACM Transactions on Internet Technology (TOIT),ACM,62,19,top,10
Information Retrieval Journal,Springer,23,20,,10
IEEE Internet Computing,IEEE CS,44,34,other,6
