IEEE TSE,IEEE CS,57,52,top
ACM TOSEM,ACM,12,28,top
EMSE,Springer,84,37,
IST,Elsevier,102,30,
SQJ,Springer,38,26,
JSEP,Wiley,0,23,
ASEJ,Springer,24,0,
SoSyM,Springer,47,31,
