SIGMOD Conference,SIGMOD,1
PVLDB,PVLDB,1
ICDE,ICDE,0.33
PODS,PODS,0.33
ER,ER,0.33
JCDL,JCDL,0.33
EDBT,EDBT,0.33
CIKM,CIKM,0.33
SIGIR,SIGIR,1
