IEEE Trans. on Affective Computing (IEEE TAC),IEEE CIS,40,39,,10
Int. Journal of Human-Computer Studies (Int. J. HC Studies),Elsevier,83,38,,10
ACM Trans. on Computer-Human Interaction (ACM TOCHI),ACM,31,36,top,10
Behaviour & Information Technology (Behaviour & IT),Taylor Francis,79,35,,10
IEEE Trans. on Human-Machine Systems (IEEE THMS),IEE SMC,82,32,,10
Int. Journal of Human-Computer Interaction (Int. J. HCI),Taylor Francis,63,30,,10
IEEE Trans. on Haptics (IEEE Trans. Haptics),IEEE CES,39,26,,10
Computer Supported Cooperative Work,Springer,28,24,,10
Interacting With Computers,Oxford,30,22,,10
