Computer Networks,56
IEEE Comm. Magazine,32
Computer Comm.,31
J. Network Computer App.,28
Ad Hoc Networks,25
Networks,8
IEEE Trans. Mobile Comput.,7
IEEE/ACM Trans. Networking,4
IEEE Trans. Wireless Comm.,2
J. Selected Areas Comm.,2
IEEE Wireless Commun.,1
IEEE Trans. Comm.,0
