Eur. J. Oper. Res.,EJOR,7
Comput. Oper. Res.,Computers & OR,5
Math. Program.,Math Program,5
SIAM J. Optim.,SIAM J Opt,5
SIAM J. Numerical Analysis,SIAM J Num Analysis,5
Ann. Oper. Res.,Annals OR,7
SIAM J. Control and Optimization,SIAM J Contr Opt,5
J. Global Optimization,J Global Opt,5
J. Optim. Theory Appl.,J Opt Th Appl,7
Comput. Optim. Appl.,Comp Opt Appl,5
J. Oper. Res. Soc.,JORS,5
Math. Oper. Res.,Math OR,4
INFORMS J. Comput.,INFORMS J Compt,4
Optim. Lett.,Opt Letters,5
J. Comb. Optim.,J Comb Opt,7
Optimization Methods and Software,Opt Methods & Sw,5
Numer. Linear Algebra Appl.,Num Linear Alg,5
Int. Trans. Oper. Res.,ITOR,5
Oper. Res.,Operations Research,4
Transportation Science,Transp. Science,5
Networks,Networks,5
