ICML,IMLS,1701,433,25.4,91,top,
KDD,ACM SIGKDD/SIGMOD,748,130,17.4,73,top,
ICDM,IEEE CS,778,72,9.2,38,,
SDM,SIAM,358,93,25.9,35,,
RecSys,ACM SIGCHI,125,26,20.8,34,,
ECML/PKDD,"-",364,101,27.7,31,,
IEEE BigData,IEEE CS,,,17.8,25,,
