Inf. Systems,33
Data & Knowl. Eng.,11
Proc. VLDB,11
Trans. GIS,7
GeoInformatica,4
ACM TOIS,3
ACM TMIS,0
ACM TODS,0
Sci. of Comput. Program.,0
