ACM Trans. Graph.,ACM TOG,4
IEEE Trans. Vis. Comput. Graph.,IEEE TVCG,4
Comput. Graph.,Computers & Graphics,5
Comput. Graph. Forum,Computer Graphics Forum,5
Vis. Comput.,The Visual Computer,5
IEEE Computer Graphics and Applications,IEEE Computer Graphics and Applications,6
VR,VR,3
VAST,VAST,3
ISMAR,ISMAR,3
IEEE Trans. Multim.,IEEE Trans. Multimedia,4
IEEE Multim.,IEEE MultiMedia,6
Multim. Syst.,Multimedia Syst.,5
Multim. Tools Appl.,Multimedia Tools Appl.,7
ACM Trans. Multim. Comput. Commun. Appl.,ACM TOMM,4
TOMCCAP,ACM TOMM,4
TOMM,ACM TOMM,4
ACM Multimedia,ACM MM,1
