Christina Chavez,UFBA,SE
Cid Carvalho de Souza,UNICAMP,OR
Clarisse de Souza,PUC-Rio,CHI
Claudia Linhares Sales,UFC,THEORY
Claudia Nalon,UnB,FORMAL
Claudia Werner,COPPE/UFRJ,SE
Claudine Badue,UFES,AI
Claudio Amorim,COPPE/UFRJ,ARCH
Claudio Campelo,UFCG,AI
Claudio Geyer,UFRGS,ARCH
Claudio Jung,UFRGS,VISION
Claudio Sant’Anna,UFBA,SE
Claudio Toledo,ICMC/USP,AI
Claudson Bornstein,DCC/UFRJ,THEORY
Cleber Zanchettin,UFPE,AI
Cleidson Souza,UFPA,SE
Clodis Boscarioli,UNIOESTE,CHI
Clodoaldo Lima,EACH/USP,AI
Clodoveu Davis,UFMG,DBIS
Creto Vidal,UFC,AI
Cristiana Bentes,UERJ,OR
Cristiano Arbex Valle,UFMG,OR
Cristiano Costa,Unisinos,ARCH
Cristiano Maciel da Silva,UFSJ,NET
Cristina Boeres,UFF,ARCH
Cristina Ciferri,ICMC/USP,DBIS
Cristina Fernandes,IME/USP,THEORY
Dalton Guerrero,UFCG,SE
Daltro Nunes,UFRGS,SE
Daniel Batista,IME/USP,DBIS
Daniel Carlos Guimaraes Pedronette,UNESP,VISION
Daniel Cordeiro,EACH/USP,ARCH
Daniel Fernandes Macedo,UFMG,NET
Daniel Figueiredo,COPPE/UFRJ,DATA
Daniel Guidoni,UFSJ,NET
Daniel Kaster,UEL,DBIS
Daniel Menasche,DCC/UFRJ,NET
Daniel Morgato Martin,UFABC,THEORY
Daniel Osaku,UFSCAR,DATA
Daniel Schwabe,PUC-Rio,DATA
Daniel de Oliveira,UFF,ARCH
Danielo Gomes,UFC,ARCH
Danilo Sanches,UTFPR,AI
Dante Augusto Couto Barone,URGS,VISION
Dario Aloise,UERN,OR
David Martins,UFABC,DATA
David Menotti,UFPR,AI
David Moises Santos,UEFS,CSE
Debora Nascimento,UFS,CSE
Denilson Pereira,UFLA,IR
Denis Fernando Wolf,ICMC/USP,ROBOTICS
Denis Maua,IME/USP,AI
Diana Sasaki Nobrega,UERJ,THEORY
Diego Aranha,UNICAMP,SECURITY
Diego Dermeval,UFAL,AI
Diego Gimenez Passos,UFF,NET
Dilson Lucas Pereira,UFLA,NET
Dinani Amorim,UEBA,DATA
Divanilson Campelo,UFPE,NET
Djamel Sadok,UFPE,NET
Dorgival Guedes,UFMG,ARCH
Douglas Guimaraes Macharet,UFMG,ROBOTICS
Douglas Macedo,UFSC,NET
Douglas Rodrigues,UFSCAR,AI
Duncan Ruiz,PUC-RS,AI
Edison Pignaton de Freitas,UFRGS,NET
Edleno de Moura,UFAM,IR
Edmundo Madeira,UNICAMP,NET
Edmundo de Souza e Silva,COPPE/UFRJ,NET
Edson Borin,UNICAMP,ARCH
Edson Caceres,UFMS,ARCH
Edson Oliveira Jr,UEM,CHI
Edson Prestes e Silva,UFRGS,ROBOTICS
Eduardo Alchieri,UnB,DS
Eduardo Almeida,UFBA,SE
Eduardo Antonio Guimaraes Tavares,UFPE,DS
Eduardo Candido Xavier,UNICAMP,OR
Eduardo Cerqueira,UFPA,NET
Eduardo Feitosa,UFAM,NET
Eduardo Figueiredo,UFMG,SE
Eduardo Guerra,ITA,SE
Eduardo Nakamura,UFAM,AI
Eduardo Ogasawara,CEFET-RJ,ARCH
Eduardo Sany Laber,PUC-Rio,THEORY
Eduardo Todt,UFPR,IR
Edward Hermann Haeusler,PUC-Rio,FORMAL
Edward Moreno,UFS,ARCH
Elaine Pimentel,UFRN,FORMAL
Elaine Ribeiro de Faria,UFU,DATA
Elder Cirilo,UFSJ,SE
Eliane Martins,UNICAMP,DS
Elias Duarte,UFPR,ARCH
Elisa Yumi Nakagawa,ICMC/USP,SE
Elizabeth Furtado,UNIFOR,DATA
Elizabeth Goldbarg,UFRN,DATA
Elizabeth Wanner,CEFET-MG,AI
Ellen Barbosa,ICMC/USP,CSE
Emerson Paraiso,PUC-PR,AI
Erickson Rangel do Nascimento,UFMG,VISION
Ernesto Birgin,IME/USP,OR
Esteban Clua,UFF,SE
Estevam Hruschka,UFSCAR,AI
Evandro Costa,UFAL,SE
Fabiano Ferrari,UFSCAR,SE
Fabiano Passuelo Hessel,PUC-RS,NET
Fabiano Silva,UFPR,BIO
Fabio Augusto Faria,UNIFESP,VISION
Fabio Cappabianco,UNIFESP,AI
Fabio Costa,UFG,DS
Fabio Cozman,POLI/USP,AI
Fabio Kon,IME/USP,SE
Fabio Mascarenhas,DCC/UFRJ,PL
Fabio Porto,LNCC,AI
Fabio Protti,UFF,THEORY
Fabio Q. B. da Silva,UFPE,SE
Fabiola Greve,UFBA,SECURITY
Fabricio Benevenuto,UFMG,IR
Fabricio Breve,UNESP,AI
Fabricio Enembreck,PUC-PR,CS
Fabricio Martins Lopes,UTFPR,DATA
Fabricio Olivetti de Franca,UFABC,AI
Fabricio Siqueira Benevides,UFC,THEORY
Fatima Nunes,EACH/USP,CS
Felipe Franca,COPPE/UFRJ,AI
Felipe Meneguzzi,PUC-RS,AI
Fernanda Baiao,UNIRIO,DBIS
Fernanda Campos,UFJF,DS
Fernando Castor,UFPE,SE
Fernando Dotti,PUC-RS,DS
Fernando Figueira Filho,UFRN,SE
Fernando Gehm Moraes,PUC-RS,ARCH
Fernando Osorio,ICMC/USP,AI
Fernando Paulovich,ICMC/USP,AI
Fernando Pereira,UFMG,PL
Fernando Trinta,UFC,NET
Fernando Von Zuben,UNICAMP,AI
Flavia Delicato,DCC/UFRJ,NET
Flavia Santoro,UNIRIO,DBIS
Flavio Figueiredo,UFMG,IR
Flavio Keidi Miyazawa,UNICAMP,THEORY
Flavio Soares Correa da Silva,IME/USP,SE
Francicleber Ferreira,UFC,FORMAL
Francisco Heron de Carvalho,UFC,PL
Francisco Sant'Anna,UERJ,NET
Francisco Tenorio de Carvalho,UFPE,AI
Francisco Vilar Brasileiro,UFCG,DS
Frederico Durao,UFBA,ARCH
Gabriel Luca Nazar,UFRGS,HARDWARE
Gabriel Silva,DCC/UFRJ,ARCH
Genaina Rodrigues,UnB,SE
George Cavalcanti,UFPE,AI
George Teodoro,UnB,ARCH
Geraldo Robson Mateus,UFMG,OR
Gerberth Adin Ramirez Rivera,UNICAMP,VISION
Gerson Zaverucha,COPPE/UFRJ,DATA
Giancarlo Guizzardi,UFES,DBIS
Gilberto Camara,INPE,DBIS
Gilson Giraldi,LNCC,AI
