SIGMOD Conference,SIGMOD,1
PVLDB,VLDB,1
ICDE,ICDE,2
PODS,PODS,3
ER,ER,3
EDBT,EDBT,3
DEXA (1),DEXA,3
DEXA (2),DEXA,3
ICDT,ICDT,3
