2017,Sci. of Comput. Program.,"A semi-automatic system to evaluate the performance and scalability of ontology persistent APIs.",UFAL; ICMC/USP,Endhe Elias; Jário Santos; Ig Ibert Bittencourt; Seiji Isotani; Olavo Holanda; Patrick H. S. Brito,https://doi.org/10.1016/j.scico.2016.10.005,null,J,no_arxiv,0
2017,Sci. of Comput. Program.,"An ontology-based approach for integrating tools supporting the software measurement process.",UFES,Vinícius S. Fonseca; Monalessa Perini Barcellos; Ricardo de Almeida Falbo,https://doi.org/10.1016/j.scico.2016.10.004,null,J,no_arxiv,0
2016,ACM Comput. Surveys,"A Survey and Comparative Study of Tweet Sentiment Analysis via Semi-Supervised Learning.",UNESP,Nádia Félix Felipe da Silva; Luiz F. S. Coletta; Eduardo R. Hruschka,http://doi.acm.org/10.1145/2932708,null,J,no_arxiv,9
2016,ACM Comput. Surveys,"A Systematic Review of Shared Sensor Networks.",DCC/UFRJ; NCE/UFRJ,Claudio M. de Farias; Wei Li 0058; Flávia Coimbra Delicato; Luci Pirmez; Albert Y. Zomaya; Paulo F. Pires; José Neuman de Souza,http://doi.acm.org/10.1145/2851510,null,J,no_arxiv,8
2016,ACM Comput. Surveys,"Parallel Optimal Pairwise Biological Sequence Comparison: Algorithms, Platforms, and Classification.",UnB,Edans Flavius de Oliveira Sandes; Azzedine Boukerche; Alba Cristina Magalhaes Alves de Melo,http://doi.acm.org/10.1145/2893488,null,J,no_arxiv,2
2016,ACM Comput. Surveys,"Target Tracking for Sensor Networks: A Survey.",UFAM,Éfren Lopes Souza; Eduardo Freire Nakamura; Richard W. Pazzi,http://doi.acm.org/10.1145/2938639,null,J,no_arxiv,11
2016,ACM Comput. Surveys,"Techniques and Devices Used in Palpation Simulation with Haptic Feedback.",EACH/USP,Mateus L. Ribeiro; Henrique Manoel Lederman; Simone Elias; Fátima de Lourdes dos Santos Nunes,http://doi.acm.org/10.1145/2962723,null,J,no_arxiv,1
2016,ACM Comput. Surveys,"Vehicular Networks: A New Challenge for Content-Delivery-Based Applications.",UFMG; UFPA; UEM,Fabrício A. Silva; Azzedine Boukerche; Thais R. M. Braga Silva; Linnyer Beatrys Ruiz; Eduardo Cerqueira; Antonio A. F. Loureiro,http://doi.acm.org/10.1145/2903745,null,J,no_arxiv,9
2016,IEEE Computer,"The Perils of Android Security Configuration.",UNICAMP,Daniel Vecchiato; Marco Vieira; Eliane Martins,https://doi.org/10.1109/MC.2016.184,null,J,no_arxiv,2
2016,Sci. of Comput. Program.,"A family of test selection criteria for Timed Input-Output Symbolic Transition System models.",UFCG,Alan Moraes; Wilkerson de L. Andrade; Patrícia D. L. Machado,https://doi.org/10.1016/j.scico.2016.05.004,null,J,no_arxiv,1
2016,Sci. of Comput. Program.,"Ambiguity and constrained polymorphism.",UFMG; UFOP,Carlos Camarão; Lucília Figueiredo; Rodrigo Ribeiro,https://doi.org/10.1016/j.scico.2016.03.007,null,J,no_arxiv,1
2016,Sci. of Comput. Program.,"Avoiding code pitfalls in Aspect-Oriented Programming.",UFMG; UFSCAR,Adriano Lages dos Santos; Péricles Alves; Eduardo Figueiredo; Fabiano Cutigi Ferrari,https://doi.org/10.1016/j.scico.2015.12.003,null,J,no_arxiv,2
2016,Sci. of Comput. Program.,"Contextual abstraction in a type system for component-based high performance computing platforms.",UFC,Francisco Heron de Carvalho Junior; Cenez Araújo Rezende; Jefferson de Carvalho Silva; Wagner Guimarães Al-Alam; João Marcelo U. de Alencar,https://doi.org/10.1016/j.scico.2016.07.005,null,J,no_arxiv,1
2016,Sci. of Comput. Program.,"Error reporting in Parsing Expression Grammars.",PUC-PR; DCC/UFRJ; PUC-Rio,André Murbach Maidl; Fabio Mascarenhas; Sérgio Medeiros; Roberto Ierusalimschy,https://doi.org/10.1016/j.scico.2016.08.004,null,J,http://arxiv.org/abs/1405.6646v3,3
2016,Sci. of Comput. Program.,"Performance evaluation of virtual execution environments for intensive computing on usual representations of multidimensional arrays.",UFC,Francisco Heron de Carvalho Junior; Cenez Araújo Rezende,https://doi.org/10.1016/j.scico.2016.04.005,null,J,no_arxiv,0
2015,ACM Comput. Surveys,"Mapping QoE through QoS in an Approach to DDB Architectures: Research Analysis and Conceptualization.",UFSC,Ramon Hugo de Souza; Mario Antonio Ribeiro Dantas,http://doi.acm.org/10.1145/2828994,null,J,no_arxiv,3
