2,ICDCS,IEEE CS,531,89,16.8,34,near-top,0
3,CCGrid,ACM/IEEE CS,238,59,24.8,37,,0
4,CLOUD,IEEE CS,111,20,18.0,39,,0
5,DSN,IEEE/IFIP,220,49,22.3,32,,0
6,PerCom,IEEE CS,194,28,14.4,31,,0
7,IPSN,IEEE/ACM,104,19,18.3,30,,12
9,CLOUDCOM,IEEE CS,193,51,26.4,28,,0
10,PODC,ACM SIGACT/SIGOPS,154,38,24.7,25,,0
11,Middleware,ACM/IFIP/Usenix,85,20,23.5,19,,0
12,SRDS,IEEE CS,72,24,33.3,18,,10
