2023,ISSRE,"Towards the Implementation of a Mobile Application Testing Infrastructure at Von Braun Labs.",Pedro Henrique Kuroishi; José Carlos Maldonado; Auri Marcelo Rizzo Vincenzi,https://doi.org/10.1109/ISSRE59848.2023.00078,null,C,no_arxiv,0
2025,IST,"Testing infrastructures to support mobile application testing: A systematic mapping study.",Pedro Henrique Kuroishi; Ana Cristina Ramada Paiva; José Carlos Maldonado; Auri Marcelo Rizzo Vincenzi,https://doi.org/10.1016/j.infsof.2024.107573,null,J,no_arxiv,0
2025,JSS,"Techniques for eliciting IoT requirements: Sensorina Map and Mind IoT.",Sabrina Rocha de Souza; Eriky Rodrigues; Maria A. C. Meireles; Tanara Lauschner; Leandro S. G. Carvalho; José Carlos Maldonado; Tayana Conte,https://doi.org/10.1016/j.jss.2024.112323,null,J,no_arxiv,0
2024,IST,"Towards the definition of a research agenda on mobile application testing based on a tertiary study.",Pedro Henrique Kuroishi; José Carlos Maldonado; Auri Marcelo Rizzo Vincenzi,https://doi.org/10.1016/j.infsof.2023.107363,null,J,no_arxiv,0
