2017,Applied Soft Comput.,"A new evolutionary algorithm for mining top-k discriminative patterns in high dimensional data.",Tarcísio Lucas; Túlio C. P. B. Silva; Renato Vimieiro; Teresa Bernarda Ludermir,https://doi.org/10.1016/j.asoc.2017.05.048,null,J,no_arxiv,3
2014,Inf. Sciences,"Disclosed: An efficient depth-first, top-down algorithm for mining disjunctive closed itemsets in high-dimensional data.",Renato Vimieiro; Pablo Moscato,https://doi.org/10.1016/j.ins.2014.04.044,null,J,no_arxiv,9
2014,Inf. Systems,"A new method for mining disjunctive emerging patterns in high-dimensional datasets using hypergraphs.",Renato Vimieiro; Pablo Moscato,https://doi.org/10.1016/j.is.2013.09.001,null,J,no_arxiv,7
