2020,Neurocomputing,"State-of-the-art quantum computing simulators: Features, optimizations, and improvements for D-GM.",Anderson Braga de Avila; Renata H. S. Reiser; Maurício L. Pilla; Adenauer C. Yamin,https://doi.org/10.1016/j.neucom.2019.01.118,null,J,no_arxiv,0
2018,IEEE Trans. Fuzzy Systems,"n-Dimensional Fuzzy Negations.",Benjamín R. C. Bedregal; Ivan Mezzomo; Renata Hax Sander Reiser,https://doi.org/10.1109/TFUZZ.2018.2842718,top,J,http://arxiv.org/abs/1707.08617v1,4
2017,Concurrency and Computation,"Quantum computing simulation through reduction and decomposition optimizations with a case study of Shor's algorithm.",Anderson Braga de Avila; Renata H. S. Reiser; Maurício L. Pilla,https://doi.org/10.1002/cpe.3961,null,J,no_arxiv,1
2019,SCP,"Comparing the performance of concurrent hash tables implemented in Haskell.",Rodrigo Medeiros Duarte; André Rauber Du Bois; Maurício Lima Pilla; Gerson Geraldo H. Cavalheiro; Renata Hax Sander Reiser,https://doi.org/10.1016/j.scico.2018.06.004,null,J,no_arxiv,0
