2023,ISSRE,"Towards the Implementation of a Mobile Application Testing Infrastructure at Von Braun Labs.",Pedro Henrique Kuroishi; José Carlos Maldonado; Auri Marcelo Rizzo Vincenzi,https://doi.org/10.1109/ISSRE59848.2023.00078,null,C,no_arxiv,0
2025,IST,"Testing infrastructures to support mobile application testing: A systematic mapping study.",Pedro Henrique Kuroishi; Ana Cristina Ramada Paiva; José Carlos Maldonado; Auri Marcelo Rizzo Vincenzi,https://doi.org/10.1016/j.infsof.2024.107573,null,J,no_arxiv,0
2024,IST,"Towards the definition of a research agenda on mobile application testing based on a tertiary study.",Pedro Henrique Kuroishi; José Carlos Maldonado; Auri Marcelo Rizzo Vincenzi,https://doi.org/10.1016/j.infsof.2023.107363,null,J,no_arxiv,0
2023,REJ,"Aligning requirements and testing through metamodeling and patterns: design and evaluation.",Taciana Novo Kudo; Renato de Freitas Bulcão-Neto; Valdemar Vicente Graciano Neto; Auri Marcelo Rizzo Vincenzi,https://doi.org/10.1007/s00766-022-00377-5,null,J,no_arxiv,0
