2019,SIGCSE,"An Approach to Generate Virtual Tutors for Game Programming Classes.",Alan de Oliveira Santana; Eduardo Aranha,https://doi.org/10.1145/3287324.3287414,null,C,no_arxiv,0
2024,Computer Networks,"ML-based inter-slice load balancing control for proactive offloading of virtual services.",Felipe Sampaio Dantas da Silva; Sérgio N. Silva; Lucileide M. D. Da Silva; Ayuri Bessa; Samuel Ferino; Pablo Paiva; Marcos Medeiros; Lucas Silva; José Neto; Kevin B. Costa; Charles H. F. dos Santos; Eduardo Aranha; Allan de M. Martins; Uirá Kulesza; Roger Immich; Augusto J. V. Neto; Ramon R. Fontes; Vicente Sousa; Marcelo A. C. Fernandes,https://doi.org/10.1016/j.comnet.2024.110422,null,J,no_arxiv,0
