2014,Int. J. Parallel Programming,"Parallelization of Full Search Motion Estimation Algorithm for Parallel and Distributed Platforms.",Eduarda Monteiro; Bruno Boessio Vizzotto; Cláudio Machado Diniz; Marilena Maule; Bruno Zatt; Sergio Bampi,https://doi.org/10.1007/s10766-012-0216-7,null,J,no_arxiv,13
2014,DATE,"dSVM: Energy-efficient distributed Scratchpad Video Memory Architecture for the next-generation High Efficiency Video Coding.",Felipe Sampaio; Muhammad Shafique 0001; Bruno Zatt; Sergio Bampi; Jörg Henkel,https://doi.org/10.7873/DATE.2014.033,null,C,no_arxiv,3
2014,ICCAD,"Energy-efficient architecture for advanced video memory.",Felipe Sampaio; Muhammad Shafique 0001; Bruno Zatt; Sergio Bampi; Jörg Henkel,https://doi.org/10.1109/ICCAD.2014.7001343,top,C,no_arxiv,11
