2020,Concurrency and Computation,"Static job scheduling for environments with vertical elasticity.",Henrique Kloh; Vinod E. F. Rebello; Cristina Boeres; Bruno Schulze; Mariza Ferro,https://doi.org/10.1002/cpe.5761,null,J,no_arxiv,0
2019,Concurrency and Computation,"New advances in high-performance computing systems.",Cristina Boeres; Cristiana Bentes; Edward D. Moreno,https://doi.org/10.1002/cpe.5172,null,J,no_arxiv,0
2018,J. Parallel Distrib. Comput.,"Exploring parallel multi-GPU local search strategies in a metaheuristic framework.",Eyder Rios; Luiz Satoru Ochi; Cristina Boeres; Vitor Nazário Coelho; Igor Machado Coelho; Ricardo C. Farias,https://doi.org/10.1016/j.jpdc.2017.06.011,null,J,no_arxiv,0
2021,Concurr. & Computation,"Towards optimizing the execution of spark scientific workflows using machine learning-based parameter tuning.",Douglas E. M. de Oliveira; Fábio Porto 0001; Cristina Boeres; Daniel de Oliveira 0001,https://doi.org/10.1002/cpe.5972,null,J,no_arxiv,0
2021,CCGrid,"Comparing SARS-CoV-2 Sequences using a Commercial Cloud with a Spot Instance Based Dynamic Scheduler.",Luan Teylo; Alan L. Nunes; Alba C. M. A. Melo; Cristina Boeres; Lúcia Maria de A. Drummond; Natália Florencio Martins,https://doi.org/10.1109/CCGrid51090.2021.00034,null,C,no_arxiv,0
2020,UCC,"Managing Vertical Memory Elasticity in Containers.",Carlos H. Z. Nicodemus; Cristina Boeres; Vinod E. F. Rebello,https://doi.org/10.1109/UCC48980.2020.00032,null,C,no_arxiv,0
2018,UCC,"Combining VM Preemption Schemes to Improve Vertical Memory Elasticity Scheduling in Clouds.",Jose Valencia; Cristina Boeres; Vinod E. F. Rebello,https://doi.org/10.1109/UCC.2018.00014,null,C,no_arxiv,0
