2019,Expert Systems Appl.,"Mutual equidistant-scattering criterion: A new index for crisp clustering.",Caio Flexa; Reginaldo Santos; Walisson Cardoso Gomes; Claudomiro Sales; João C. W. A. Costa,https://doi.org/10.1016/j.eswa.2019.03.027,null,J,no_arxiv,0
2018,Applied Soft Comput.,"A semi-autonomous particle swarm optimizer based on gradient information and diversity control for global optimization.",Reginaldo Santos; Gilvan Borges; Adam Dreyton Ferreira dos Santos; Moisés Silva; Claudomiro Sales; João C. W. A. Costa,https://doi.org/10.1016/j.asoc.2018.04.027,null,J,no_arxiv,0
2016,Engineering Appl. of AI,"A novel unsupervised approach based on a genetic algorithm for structural damage detection in bridges.",Moisés Silva; Adam Santos 0001; Eloi Figueiredo; Reginaldo Santos; Claudomiro Sales; João Crisóstomo Weyl Albuquerque Costa,https://doi.org/10.1016/j.engappai.2016.03.002,null,J,no_arxiv,0
