2018,CloudCom,"Improving Tail Latency of Stateful Cloud Services via GC Control and Load Shedding.",Daniel Fireman; João Brunet; Raquel Lopes 0001; David Quaresma; Thiago Emmanuel Pereira,https://doi.org/10.1109/CloudCom2018.2018.00034,null,C,no_arxiv,0
2017,CCGrid,"Multi-dimensional admission control and capacity planning for IaaS clouds with multiple service classes.",Marcus Carvalho; Francisco Vilar Brasileiro; Raquel Lopes 0001; Giovanni Farias; Alessandro Fook; João Mafra; Daniel Turull,https://doi.org/10.1109/CCGRID.2017.14,null,C,no_arxiv,0
2017,CloudCom,"On the Efficiency Gains of Using Disaggregated Hardware to Build Warehouse-Scale Clusters.",Giovanni Farias; Francisco Vilar Brasileiro; Raquel Lopes 0001; Marcus Carvalho; Fábio Jorge Almeida Morais; Daniel Turull,https://doi.org/10.1109/CloudCom.2017.19,null,C,no_arxiv,0
