2019,ESEM,"Continuous Integration Theater.",Wagner Felidré; Leonardo B. Furtado; Daniel Alencar da Costa; Bruno Cartaxo; Gustavo Pinto 0001,https://doi.org/10.1109/ESEM.2019.8870152,null,C,http://arxiv.org/abs/1907.01602v1,0
2019,ESEM,"Comprehending Energy Behaviors of Java I/O APIs.",Gilson Rocha; Fernando Castor; Gustavo Pinto 0001,https://doi.org/10.1109/ESEM.2019.8870158,null,C,no_arxiv,0
2019,ICPC,"Are static analysis violations really fixed?: a closer look at realistic usage of SonarQube.",Diego Marcilio; Rodrigo Bonifácio; Eduardo Monteiro; Edna Dias Canedo; Welder Pinheiro Luz; Gustavo Pinto 0001,https://doi.org/10.1109/ICPC.2019.00040,null,C,no_arxiv,0
2019,MSR,"Recommending energy-efficient Java collections.",Wellington Oliveira; Renato Oliveira; Fernando Castor; Benito Fernandes; Gustavo Pinto 0001,https://doi.org/10.1109/MSR.2019.00033,null,C,no_arxiv,0
2019,MSR,"Characterizing the roles of contributors in open-source scientific software projects.",Reed Milewicz; Gustavo Pinto 0001; Paige Rodeghero,https://doi.org/10.1109/MSR.2019.00069,null,C,no_arxiv,0
2018,EMSE,"On the challenges of open-sourcing proprietary software projects.",Gustavo Pinto 0001; Igor Steinmacher; Luiz Felipe Dias; Marco Aurélio Gerosa,https://doi.org/10.1007/s10664-018-9609-6,null,J,no_arxiv,0
2018,SPE,"Work practices and challenges in continuous integration: A survey with Travis CI users.",Gustavo Pinto 0001; Fernando Castor; Rodrigo Bonifácio; Marcel Rebouças,https://doi.org/10.1002/spe.2637,null,J,no_arxiv,0
2018,ESEM,"Building a collaborative culture: a grounded theory of well succeeded devops adoption in practice.",Welder Pinheiro Luz; Gustavo Pinto 0001; Rodrigo Bonifácio,https://doi.org/10.1145/3239235.3240299,null,C,http://arxiv.org/abs/1809.05415v1,0
2018,ICSE,"Almost there: a study on quasi-contributors in open source software projects.",Igor Steinmacher; Gustavo Pinto 0001; Igor Scaliante Wiese; Marco Aurélio Gerosa,https://doi.org/10.1145/3180155.3180208,top,C,no_arxiv,0
2018,ICSE,"How modern news aggregators help development communities shape and share knowledge.",Maurício Finavaro Aniche; Christoph Treude; Igor Steinmacher; Igor Wiese; Gustavo Pinto 0001; Margaret-Anne D. Storey; Marco Aurélio Gerosa,https://doi.org/10.1145/3180155.3180180,top,C,no_arxiv,0
2018,MSR,"Understanding the usage, impact, and adoption of non-OSI approved licenses.",Rômulo Manciola Meloca; Gustavo Pinto 0001; Leonardo Baiser; Marco Mattos; Ivanilton Polato; Igor Scaliante Wiese; Daniel M. Germán,https://doi.org/10.1145/3196398.3196427,null,C,no_arxiv,0
2018,MSR,"How swift developers handle errors.",Nathan Cassee; Gustavo Pinto 0001; Fernando Castor; Alexander Serebrenik,https://doi.org/10.1145/3196398.3196428,null,C,no_arxiv,0
