2021,IEEE TPAMI,"Camera Pose Estimation Using First-Order Curve Differential Geometry.",Ricardo Fabbri; Peter J. Giblin; Benjamin B. Kimia,https://doi.org/10.1109/TPAMI.2020.2985310,top,J,no_arxiv,0
2020,CVPR,"TRPLP - Trifocal Relative Pose From Lines at Points.",Ricardo Fabbri; Timothy Duff; Hongyi Fan; Margaret H. Regan; David da Costa de Pinho; Elias P. Tsigaridas; Charles W. Wampler; Jonathan D. Hauenstein; Peter J. Giblin; Benjamin B. Kimia; Anton Leykin; Tomás Pajdla,https://openaccess.thecvf.com/content_CVPR_2020/html/Fabbri_TRPLP_-_Trifocal_Relative_Pose_From_Lines_at_Points_CVPR_2020_paper.html,top,C,no_arxiv,0
2017,CVPR,"The Surfacing of Multiview 3D Drawings via Lofting and Occlusion Reasoning.",Anil Usumezbas; Ricardo Fabbri; Benjamin B. Kimia,https://doi.org/10.1109/CVPR.2017.485,top,C,http://arxiv.org/abs/1707.03946v1,0
