2019,PDP,"Greedy Multi-Cloud Selection Approach to Deploy an Application Based on Microservices.",Juliana Oliveira de Carvalho; Dario Vieira; Fernando Trinta,https://doi.org/10.1109/EMPDP.2019.8671608,null,C,no_arxiv,0
2018,Future Generation CS,"Evolutionary solutions for resources management in multiple clouds: State-of-the-art and future directions.",Juliana Oliveira de Carvalho; Fernando Trinta; Dario Vieira; Omar Andrés Carmona Cortes,https://doi.org/10.1016/j.future.2018.05.087,null,J,no_arxiv,2
2018,CLOUD,"Dynamic Selecting Approach for Multi-cloud Providers.",Juliana Oliveira de Carvalho; Dario Vieira; Fernando Trinta,https://doi.org/10.1007/978-3-319-94295-7_3,null,C,no_arxiv,0
2017,Computer Comm.,"Performing computation offloading on multiple platforms.",Paulo A. L. Rego; Philipp B. Costa; Emanuel F. Coutinho; Lincoln S. Rocha; Fernando Antonio Mota Trinta; José Neuman de Souza,https://doi.org/10.1016/j.comcom.2016.07.017,null,J,no_arxiv,6
