2022,IEEE Comm. Magazine,"Managing Virtual Programmable Switches: Principles, Requirements, and Design Directions.",Guilherme Bueno; Mateus Saquetti; Pablo Rodrigues; Ivan Peter Lamb; Luciano Paschoal Gaspary; Marcelo Caggiani Luizelli; Mohamed Faten Zhani; José Rodrigo Azambuja; Weverton Cordeiro,https://doi.org/10.1109/MCOM.001.2100363,null,J,no_arxiv,0
2022,NOMS,"Protecting Virtual Programmable Switches from Cross-App Poisoning (CAP) Attacks.",Ivan Peter Lamb; Mateus Saquetti; Guilherme Bueno de Oliveira; José Rodrigo Azambuja; Weverton Cordeiro,https://doi.org/10.1109/NOMS54207.2022.9789775,null,C,no_arxiv,0
2022,NOMS,"Fix Me If You Can: Using Neural Networks to Regenerate Networked Systems' Monitoring Traces.",Kayuã Oleques Paim; Vagner Ereno Quincozes; Diego Kreutz; Rodrigo B. Mansilha; Weverton Cordeiro,https://doi.org/10.1109/NOMS54207.2022.9789824,null,C,no_arxiv,0
2021,IM,"Programmable Low-End Networks: Powering Internet Connectivity for the Other Three Billion.",André Scheibe; Willian Reichert; Luciano Paschoal Gaspary; Weverton Cordeiro,https://ieeexplore.ieee.org/document/9464039,null,C,no_arxiv,0
2020,NOMS,"P4 Switch Code Data Flow Analysis: Towards Stronger Verification of Forwarding Plane Software.",Karine Birnfeld; Diogo Campos da Silva; Weverton Cordeiro; Breno Bernard Nicolau de França,https://doi.org/10.1109/NOMS47738.2020.9110307,null,C,no_arxiv,0
