2016,PRL,"Time series-based classifier fusion for fine-grained plant species recognition.",Fábio Augusto Faria; Jurandy Almeida; Bruna Alberton; Leonor Patricia C. Morellato; Anderson Rocha; Ricardo da Silva Torres,https://doi.org/10.1016/j.patrec.2015.10.016,null,J,no_arxiv
2016,PRL,"Fusion of time series representations for plant recognition in phenology studies.",Fábio Augusto Faria; Jurandy Almeida; Bruna Alberton; Leonor Patricia C. Morellato; Ricardo da Silva Torres,https://doi.org/10.1016/j.patrec.2016.03.005,null,J,no_arxiv
2016,ICPR,"Information fusion for cocaine dependence recognition using fMRI.",Fábio Augusto Faria; Fabio A. M. Cappabianco; Chiang-shan R. Li; Jaime S. Ide,https://doi.org/10.1109/ICPR.2016.7899784,null,C,no_arxiv
2014,JVCI,"Automatic identification of fruit flies (Diptera: Tephritidae).",Fábio Augusto Faria; P. Perre; Roberto A. Zucchi; L. R. Jorge; T. M. Lewinsohn; Anderson Rocha; Ricardo da Silva Torres,https://doi.org/10.1016/j.jvcir.2014.06.014,null,J,no_arxiv
2014,PRL,"A framework for selection and fusion of pattern classifiers in multimedia recognition.",Fábio Augusto Faria; Jefersson Alex dos Santos; Anderson Rocha; Ricardo da Silva Torres,https://doi.org/10.1016/j.patrec.2013.07.014,null,J,no_arxiv
