2023,Computer Graphics Forum,"ComVis-Sail: Comparative Sailing Performance Visualization for Coaching.",Marcos Pieras; Ricardo Marroquim; Douwe Broekens; Elmar Eisemann; Anna Vilanova,https://doi.org/10.1111/cgf.14722,null,J,no_arxiv,0
2023,Computer Graphics Forum,"Investigation and Simulation of Diffraction on Rough Surfaces.",Olaf Clausen; Y. Chen; Arnulph Fuhrmann; Ricardo Marroquim,https://doi.org/10.1111/cgf.14717,null,J,no_arxiv,0
2019,Computers & Graphics,"OMiCroN - Oblique Multipass Hierarchy Creation while Navigating.",Vinícius da Silva; Claudio Esperança; Ricardo Marroquim,https://doi.org/10.1016/j.cag.2019.08.016,null,J,no_arxiv,0
2021,MVAP,"Monocular 3D reconstruction of sail flying shape using passive markers.",Luiz Maurilio Maciel; Ricardo Marroquim; Marcelo Bernardes Vieira; Kevyn Swhants Ribeiro; Alexandre Alho,https://doi.org/10.1007/s00138-020-01149-3,null,J,no_arxiv,0
2019,IEEE TIP,"On GPU Connected Components and Properties: A Systematic Evaluation of Connected Component Labeling Algorithms and Their Extension for Property Extraction.",Pedro Asad; Ricardo Marroquim; Andrea L. e L. Souza,https://doi.org/10.1109/TIP.2018.2851445,null,J,no_arxiv,0
