2021,RE,"Towards Achieving Trust Through Transparency and Ethics.",David Kwan; Luiz Marcio Cysneiros; Julio Cesar Sampaio do Prado Leite,https://doi.org/10.1109/RE51729.2021.00015,null,C,http://arxiv.org/abs/2107.02959v1,0
2020,IST,"The impact of using a domain language for an agile requirements management.",Matias Urbieta; Leandro Antonelli 0001; Gustavo Rossi; Julio Cesar Sampaio do Prado Leite,https://doi.org/10.1016/j.infsof.2020.106375,null,J,no_arxiv,0
2017,REJ,"Mapping quality requirements for pervasive mobile games.",Luís Valente; Bruno Feijó; Julio Cesar Sampaio do Prado Leite,https://doi.org/10.1007/s00766-015-0238-y,null,J,no_arxiv,0
