2024,VL/HCC,"Game Elements to Engage Students Learning the Open Source Software Contribution Process.",Ítalo Santos; Kátia Romero Felizardo; Marco Aurélio Gerosa; Igor Steinmacher,https://doi.org/10.1109/VL/HCC60511.2024.00017,null,J,http://arxiv.org/abs/2407.04674v1,0
2025,IST,"Software solutions for newcomers' onboarding in software projects: A systematic literature review.",Ítalo Santos; Kátia Romero Felizardo; Igor Steinmacher; Marco Aurélio Gerosa,https://doi.org/10.1016/j.infsof.2024.107568,null,J,http://arxiv.org/abs/2408.15989v1,0
2024,IST,"Sustainable systematic literature reviews.",Vinicius dos Santos; Anderson Yoshiaki Iwazaki; Kátia Romero Felizardo; Erica Ferreira 0001; Elisa Yumi Nakagawa,https://doi.org/10.1016/j.infsof.2024.107551,null,J,no_arxiv,0
2024,ESEM,"ChatGPT application in Systematic Literature Reviews in Software Engineering: an evaluation of its accuracy to support the selection activity.",Kátia Romero Felizardo; Márcia Sampaio Lima; Anderson Deizepe; Tayana Uchôa Conte; Igor Steinmacher,https://doi.org/10.1145/3674805.3686666,null,C,no_arxiv,0
2022,IST,"Successful combination of database search and snowballing for identification of primary studies in systematic literature studies.",Claes Wohlin; Marcos Kalinowski; Kátia Romero Felizardo; Emilia Mendes,https://doi.org/10.1016/j.infsof.2022.106908,null,J,no_arxiv,0
2021,JSS,"Synthesizing researches on Knowledge Management and Agile Software Development using the Meta-ethnography method.",Bianca Minetto Napoleão; Érica Ferreira de Souza; Glauco Antonio Ruiz; Kátia Romero Felizardo; Giovani Volnei Meinerz; Nandamudi Lankalapalli Vijaykumar,https://doi.org/10.1016/j.jss.2021.110973,null,J,no_arxiv,0
2020,IST,"Guidelines for the search strategy to update systematic literature reviews in software engineering.",Claes Wohlin; Emilia Mendes; Kátia Romero Felizardo; Marcos Kalinowski,https://doi.org/10.1016/j.infsof.2020.106366,null,J,http://arxiv.org/abs/2006.05542v1,0
2020,IST,"Reducing efforts of software engineering systematic literature reviews updates using text classification.",Willian Massami Watanabe; Kátia Romero Felizardo; Arnaldo Candido Jr.; Érica Ferreira de Souza; José Ede de Campos Neto; Nandamudi Lankalapalli Vijaykumar,https://doi.org/10.1016/j.infsof.2020.106395,null,J,no_arxiv,0
2020,JSS,"When to update systematic literature reviews in software engineering.",Emilia Mendes; Claes Wohlin; Kátia Romero Felizardo; Marcos Kalinowski,https://doi.org/10.1016/j.jss.2020.110607,null,J,http://arxiv.org/abs/2004.06183v1,0
2020,JSS,"Secondary studies in the academic context: A systematic mapping and survey.",Kátia Romero Felizardo; Érica Ferreira de Souza; Bianca Minetto Napoleão; Nandamudi Lankalapalli Vijaykumar; Maria Teresa Baldassarre,https://doi.org/10.1016/j.jss.2020.110734,null,J,http://arxiv.org/abs/2007.07751v1,0
