2024,ACM TOCE,"Evaluating ChatGPT-4 Vision on Brazil's National Undergraduate Computer Science Exam.",Nabor C. Mendonça,https://doi.org/10.1145/3674149,top,J,http://arxiv.org/abs/2406.09671v1,0
2025,SPE,"A declarative approach and benchmark tool for controlled evaluation of microservice resiliency patterns.",Carlos M. Aderaldo; Thiago M. Costa; Davi M. Vasconcelos; Nabor C. Mendonça; Javier Cámara 0001; David Garlan,https://doi.org/10.1002/spe.3368,null,J,no_arxiv,0
2021,IEEE Software,"Developing Self-Adaptive Microservice Systems: Challenges and Directions.",Nabor Chagas Mendonça; Pooyan Jamshidi; David Garlan; Claus Pahl,https://doi.org/10.1109/MS.2019.2955937,null,J,no_arxiv,0
2021,IEEE Software,"The Monolith Strikes Back: Why Istio Migrated From Microservices to a Monolithic Architecture.",Nabor C. Mendonça; Craig Box; Costin Manolache; Louis Ryan,https://doi.org/10.1109/MS.2021.3080335,null,J,no_arxiv,0
2021,SPE,"Migrating production monolithic systems to microservices using aspect oriented programming.",Augusto Flávio A. A. Freire; Américo Falcone Sampaio; Luis Heustakio L. Carvalho; Otávio Medeiros; Nabor C. Mendonça,https://doi.org/10.1002/spe.2956,null,J,no_arxiv,0
2020,ICSA,"Model-Based Analysis of Microservice Resiliency Patterns.",Nabor C. Mendonça; Carlos Mendes Aderaldo; Javier Cámara 0001; David Garlan,https://doi.org/10.1109/ICSA47634.2020.00019,null,C,no_arxiv,0
