2019,Concurrency and Computation,"DaC-Join: A join operator for improving database performance on modern hardware.",Namom Alencar; Angelo Brayner; José Maria Monteiro; José de Aguiar Moraes Filho,https://doi.org/10.1002/cpe.5180,null,J,no_arxiv,0
2017,Concurrency and Computation,"DaC scan: a novel scan operator for exploiting SSD internal parallelism.",Namom Alencar; Angelo Brayner; José de Aguiar Moraes Filho; Hamilton Lopes,https://doi.org/10.1002/cpe.4031,null,J,no_arxiv,2
