2020,Neurocomputing,"State-of-the-art quantum computing simulators: Features, optimizations, and improvements for D-GM.",Anderson Braga de Avila; Renata H. S. Reiser; Maurício L. Pilla; Adenauer C. Yamin,https://doi.org/10.1016/j.neucom.2019.01.118,null,J,no_arxiv,0
2017,Future Generation CS,"EXEHDA-HM: A compositional approach to explore contextual information on hybrid models.",Roger da Silva Machado; Ricardo Borges Almeida; Diórgenes Yuri Leal da Rosa; João Ladislau Barbará Lopes; Ana Marilza Pernas; Adenauer Corrêa Yamin,https://doi.org/10.1016/j.future.2017.03.005,null,J,no_arxiv,0
2019,IST,"State of the art in hybrid strategies for context reasoning: A systematic literature review.",Roger da Silva Machado; Ricardo Borges Almeida; Ana Marilza Pernas; Adenauer C. Yamin,https://doi.org/10.1016/j.infsof.2019.01.010,null,J,no_arxiv,0
2019,IST,"A distributed event-driven architectural model based on situational awareness applied on internet of things.",Ricardo Borges Almeida; Victor Renan Covalski Junes; Roger da Silva Machado; Diórgenes Yuri Leal da Rosa; Lucas Medeiros Donato; Adenauer Corrêa Yamin; Ana Marilza Pernas,https://doi.org/10.1016/j.infsof.2019.04.001,null,J,no_arxiv,0
