2024,Behaviour & IT,"Interaction design in distributed software development: a systematic mapping study.",Daniel Domingos Alves; Ecivaldo de Souza Matos; Christina von Flach G. Chavez,https://doi.org/10.1080/0144929x.2023.2286534,null,J,no_arxiv,0
2023,Int. J. HCI,"Investigation on Equity and Otherness in the Interaction Design Process: A Systematic Mapping.",Beatriz Brito do Rêgo; Caique Yan Conceição de Amorim; Suyane Miranda Sodré; Filipe A. Garrido; Ecivaldo de Souza Matos,https://doi.org/10.1080/10447318.2022.2109251,null,J,no_arxiv,0
2021,Behaviour & IT,"Guidelines for braindraw conduction: looking at braindraw under the lens of abduction and semiotics.",Jean C. S. Rosa; Pedro D. Valente; Leonardo Costa; Nuno Nunes 0001; Ecivaldo de Souza Matos,https://doi.org/10.1080/0144929X.2021.1925742,null,J,no_arxiv,0
