2013,SoCG,"Parameterized complexity of discrete morse theory.",Benjamin A. Burton; Thomas Lewiner; João Paixão; Jonathan Spreer,http://doi.acm.org/10.1145/2462356.2462391,null,C,http://arxiv.org/abs/1303.7037v1,3
2017,MVAP,"Online human moves recognition through discriminative key poses and speed-aware action graphs.",Thales Vieira; Romain Faugeroux; Dimas Martínez Morera; Thomas Lewiner,https://doi.org/10.1007/s00138-016-0818-y,null,J,no_arxiv,2
2014,PRL,"Online gesture recognition from pose kernel learning and decision forests.",Leandro Miranda; Thales Vieira; Dimas Martínez Morera; Thomas Lewiner; Antônio Wilson Vieira; Mario Fernando Montenegro Campos,https://doi.org/10.1016/j.patrec.2013.10.005,null,J,no_arxiv,26
