2017,Data & Knowl. Eng.,"Planning runtime software adaptation through pragmatic goal model.",Felipe Pontes Guimarães; Genaína Nunes Rodrigues; Raian Ali; Daniel Macêdo Batista,https://doi.org/10.1016/j.datak.2017.03.003,null,J,no_arxiv,0
2015,ER,"Pragmatic Requirements for Adaptive Systems: A Goal-Driven Modeling and Analysis Approach.",Felipe Pontes Guimarães; Genaína Nunes Rodrigues; Daniel Macêdo Batista; Raian Ali,https://doi.org/10.1007/978-3-319-25264-3_4,null,C,no_arxiv,1
2014,J. Grid Comput.,"A Framework for Adaptive Fault-Tolerant Execution of Workflows in the Grid: Empirical and Theoretical Analysis.",Felipe Pontes Guimarães; Pedro Célestin; Daniel Macêdo Batista; Genaína Nunes Rodrigues; Alba Cristina Magalhaes Alves de Melo,https://doi.org/10.1007/s10723-013-9281-4,null,J,no_arxiv,2
