2020,IEEE Trans. Haptics,"Altering the Stiffness, Friction, and Shape Perception of Tangible Objects in Virtual Reality Using Wearable Haptics.",David Steeven Villa Salazar; Claudio Pacchierotti; Xavier de Tinguy; Anderson Maciel; Maud Marchal,https://doi.org/10.1109/TOH.2020.2967389,null,J,no_arxiv,0
2022,ACM Comput. Surveys,"Measuring Presence in Virtual Environments: A Survey.",Vinicius Costa de Souza; Anderson Maciel; Luciana Porcher Nedel; Regis Kopper,https://doi.org/10.1145/3466817,null,J,no_arxiv,0
2025,IEEE TVCG,"Navigating Decision-Making Frontiers: Virtual Reality and Spatial Skills in Strategic Planning.",Jerson Neto; Anderson Maciel; Luciana Nedel,https://doi.org/10.1109/TVCG.2025.3549167,top,J,no_arxiv,0
2024,Computers & Graphics,"Characterizing head-gaze and hand affordances using AR for laparoscopy.",Matheus Dias Negrão; Anderson Maciel,https://doi.org/10.1016/j.cag.2024.103936,null,J,no_arxiv,0
2024,Computers & Graphics,"Fast spline collision detection (FSCD) algorithm for solving multiple contacts in real-time.",Lucas Zanusso Morais; Marcelo Gomes Martins; Rafael Piccin Torchelsen; Anderson Maciel; Luciana Porcher Nedel,https://doi.org/10.1016/j.cag.2024.104107,null,J,no_arxiv,0
2023,Computers & Graphics,"An enhanced interactive endoscope model based on position-based dynamics and Cosserat rods for colonoscopy simulation.",Lucas Zanusso Morais; Victor Kunde Bergmann; Eduarda Abreu Carvalho; Raquel Zimmer; Marcelo Gomes Martins; Luciana Porcher Nedel; Anderson Maciel; Rafael P. Torchelsen,https://doi.org/10.1016/j.cag.2023.08.020,null,J,no_arxiv,0
2021,Computers & Graphics,"Augmented situated visualization methods towards electromagnetic compatibility testing.",Renan Luigi Martins Guarese; Pererik Andreasson; Emil Nilsson; Anderson Maciel,https://doi.org/10.1016/j.cag.2020.10.001,null,J,no_arxiv,0
