2025,EMSE,"A qualitative study on refactorings induced by code review.",Flávia Coelho; Nikolaos Tsantalis; Tiago Massoni; Everton L. G. Alves,https://doi.org/10.1007/s10664-024-10560-7,null,J,no_arxiv,0
2021,ESEM,"An Empirical Study on Refactoring-Inducing Pull Requests.",Flávia Coelho; Nikolaos Tsantalis; Tiago Massoni; Everton L. G. Alves,https://doi.org/10.1145/3475716.3475785,null,C,no_arxiv,0
