2021,Computer Comm.,"Adversarial attacks on a lexical sentiment analysis classifier.",Gildásio Antonio de Oliveira Júnior; Rafael Timóteo de Sousa Jr.; Robson de Oliveira Albuquerque; Luis Javier García-Villalba,https://doi.org/10.1016/j.comcom.2021.04.026,null,J,no_arxiv,0
2021,J. Network Computer App.,"Tensor based framework for Distributed Denial of Service attack detection.",João Paulo A. Maranhão; João Paulo C. L. da Costa; Elnaz Javidi; César Augusto Borges de Andrade; Rafael T. de Sousa Jr.,https://doi.org/10.1016/j.jnca.2020.102894,null,J,no_arxiv,0
2017,J. Network Computer App.,"Model order selection and eigen similarity based framework for detection and identification of network attacks.",Thiago Pereira de Brito Vieira; Danilo F. Tenório; João Paulo C. L. da Costa; Edison Pignaton de Freitas; Giovanni Del Galdo; Rafael Timóteo de Sousa Júnior,https://doi.org/10.1016/j.jnca.2017.04.012,null,J,no_arxiv,0
