2020,ER,"Upper-Level Types of Occurrent Based on the Principle of Ontological Conservation.",Fabrício Henrique Rodrigues; Joel Luís Carbonera; Mara Abel,https://doi.org/10.1007/978-3-030-62522-1_26,null,C,no_arxiv,0
2019,ER,"What Rocks Are Made of: Towards an Ontological Pattern for Material Constitution in the Geological Domain.",Luan Fonseca Garcia; Joel Luis Carbonera; Fabrício Henrique Rodrigues; Cauã Antunes; Mara Abel,https://doi.org/10.1007/978-3-030-33223-5_23,null,C,no_arxiv,0
2020,J. Intelligent & Robotic Syst.,"Robotic Standard Development Life Cycle in Action.",Joanna Isabelle Olszewska; Michael Houghtaling; Paulo Jorge Sequeira Gonçalves; Nicola Fabiano; Tamás Haidegger; Joel Luis Carbonera; William Remington Patterson; S. Veera Ragavan; Sandro Rama Fiorini; Edson Prestes,https://doi.org/10.1007/s10846-019-01107-w,null,J,no_arxiv,0
