2021,ECML/PKDD,"Bayesian Optimization with a Prior for the Optimum.",Artur L. F. Souza; Luigi Nardi; Leonardo B. Oliveira; Kunle Olukotun; Marius Lindauer; Frank Hutter,https://doi.org/10.1007/978-3-030-86523-8_17,null,C,http://arxiv.org/abs/2006.14608v4,0
2020,Ad Hoc Networks,"FLAT: Federated lightweight authentication for the Internet of Things.",Maria L. B. A. Santos; Jéssica C. Carneiro; Antônio M. R. Franco; Fernando Augusto Teixeira; Marco Aurélio Amaral Henriques; Leonardo B. Oliveira,https://doi.org/10.1016/j.adhoc.2020.102253,null,J,no_arxiv,0
2022,Computers & Security,"Malware-SMELL: A zero-shot learning strategy for detecting zero-day vulnerabilities.",Pedro H. Barros; Eduarda T. C. Chagas; Leonardo B. Oliveira; Fabiane Queiroz; Heitor S. Ramos,https://doi.org/10.1016/j.cose.2022.102785,null,J,no_arxiv,0
