2022,Inf. Systems,"Towards defining data interpretability in open data portals: Challenges and research opportunities.",Raissa Barcellos; Flávia Cristina Bernardini; José Viterbo,https://doi.org/10.1016/j.is.2021.101961,null,J,no_arxiv,0
2022,Trans. GIS,"A framework for spatial regionalization composed of novel clustering-based algorithms under spatial contiguity constraints.",Leandro Miranda; José Viterbo; Flávia Bernardini,https://doi.org/10.1111/tgis.12903,null,J,no_arxiv,0
2024,Computers & Graphics,"From past to present: A tertiary investigation of twenty-four years of image inpainting.",Iany Macedo Barcelos; Taís Bruno Rabelo; Flavia Bernardini; Rodrigo Salvador Monteiro; Leandro Augusto Frata Fernandes,https://doi.org/10.1016/j.cag.2024.104010,null,J,no_arxiv,0
