2019,AAAI,"Iterated Belief Base Revision: A Dynamic Epistemic Logic Approach.",Marlo Souza; Álvaro F. Moreira; Renata Vieira,https://doi.org/10.1609/aaai.v33i01.33013076,top,C,http://arxiv.org/abs/1902.06178v1,0
2021,Theor. Comput. Sci.,"Dynamic Preference Logic meets iterated belief change: Representation results and postulates characterization.",Marlo Souza; Renata Vieira; Álvaro F. Moreira,https://doi.org/10.1016/j.tcs.2020.12.042,null,J,http://arxiv.org/abs/2101.01676v1,0
2018,SPE,"EPE-Mobile - A framework for early performance estimation of mobile applications.",Thiago Soares Fernandes; Álvaro Freitas Moreira; Érika F. Cota,https://doi.org/10.1002/spe.2518,null,J,no_arxiv,0
