2020,GECCO,"Exploratory path planning for mobile robots in dynamic environments with ant colony optimization.",Valéria de Carvalho Santos; Fernando E. B. Otero; Colin G. Johnson; Fernando Santos Osório; Claudio Fabiano Motta Toledo,https://doi.org/10.1145/3377930.3390219,null,C,no_arxiv,0
2016,Neurocomputing,"Automatic generation of LUTs for Hardware Neural Networks.",Maurício Acconcia Dias; Daniel O. Sales; Fernando Santos Osório,https://doi.org/10.1016/j.neucom.2015.07.111,null,J,no_arxiv,0
2017,Robotica,"Real-time obstacle detection using range images: processing dynamically-sized sliding windows on a GPU.",Caio César Teodoro Mendes; Fernando Santos Osório; Denis Fernando Wolf,https://doi.org/10.1017/S0263574714002914,null,J,no_arxiv,0
