2017,IM,"A scalable approach for managing access control in Information Centric Networks.",Rafael Hansen da Silva; Weverton Luis da Costa Cordeiro; Luciano Paschoal Gaspary,https://doi.org/10.23919/INM.2017.7987268,null
2016,NOMS,"Virtual network embedding in software-defined networks.",Leonardo Richter Bays; Luciano Paschoal Gaspary; Reaz Ahmed; Raouf Boutaba,https://doi.org/10.1109/NOMS.2016.7502791,null
2016,NOMS,"ASTORIA: A framework for attack simulation and evaluation in smart grids.",Alexandre Gustavo Wermann; Marcelo Cardoso Bortolozzo; Eduardo Germano da Silva; Alberto E. Schaeffer Filho; Luciano Paschoal Gaspary; Marinho P. Barcellos,https://doi.org/10.1109/NOMS.2016.7502822,null
2015,IM,"Piecing together the NFV provisioning puzzle: Efficient placement and chaining of virtual network functions.",Marcelo Caggiani Luizelli; Leonardo Richter Bays; Luciana Salete Buriol; Marinho P. Barcellos; Luciano Paschoal Gaspary,https://doi.org/10.1109/INM.2015.7140281,null
2015,IM,"Capitalizing on SDN-based SCADA systems: An anti-eavesdropping case-study.",Eduardo Germano da Silva; Luis Augusto Dias Knob; Juliano Araujo Wickboldt; Luciano Paschoal Gaspary; Lisandro Zambenedetti Granville; Alberto E. Schaeffer Filho,https://doi.org/10.1109/INM.2015.7140289,null
2015,IM,"CCNrel: Leveraging relations among objects to improve the performance of CCN.",Rodolfo Stoffel Antunes; Matheus B. Lehmann; Rodrigo B. Mansilha; Christian Esteve Rothenberg; Luciano Paschoal Gaspary; Marinho P. Barcellos,https://doi.org/10.1109/INM.2015.7140293,null
2014,CNSM,"HIPER: Heuristic-based infrastructure expansion through partition reconnection for efficient Virtual Network Embedding.",Marcelo Caggiani Luizelli; Leonardo Richter Bays; Marinho P. Barcellos; Luciano Paschoal Gaspary,https://doi.org/10.1109/CNSM.2014.7014145,null
2014,NOMS,"A heuristic-based algorithm for privacy-oriented virtual network embedding.",Leonardo Richter Bays; Rodrigo Ruas Oliveira; Luciana Salete Buriol; Marinho P. Barcellos; Luciano Paschoal Gaspary,https://doi.org/10.1109/NOMS.2014.6838360,null
2013,CNSM,"Characterizing the impact of network substrate topologies on virtual network embedding.",Marcelo Caggiani Luizelli; Leonardo Richter Bays; Luciana Salete Buriol; Marinho P. Barcellos; Luciano Paschoal Gaspary,https://doi.org/10.1109/CNSM.2013.6727808,null
2013,IM,"Identifying the root cause of failures in IT changes: Novel strategies and trade-offs.",Ricardo Luis dos Santos; Juliano Araujo Wickboldt; Bruno Lopes Dalmazo; Lisandro Zambenedetti Granville; Luciano Paschoal Gaspary; Roben Castagna Lunardi,http://ieeexplore.ieee.org/document/6572977/,null
2013,IM,"Make it green and useful: Reshaping puzzles for identity management in large-scale distributed systems.",Weverton Luis da Costa Cordeiro; Flavio Roberto Santos; Marinho P. Barcellos; Luciano Paschoal Gaspary,http://ieeexplore.ieee.org/document/6573009/,null
2013,IM,"Slowing down to speed up: Mitigating collusion attacks in Content Distribution Systems.",Flavio Santos; Weverton Luis da Costa Cordeiro; Marinho P. Barcellos; Luciano Paschoal Gaspary; Fabio Victora Hecht; Burkhard Stiller,http://ieeexplore.ieee.org/document/6573015/,null
2013,Networking,"Trust-based grouping for cloud datacenters: Improving security in shared infrastructures.",Daniel Stefani Marcon; Rodrigo Ruas Oliveira; Miguel Cardoso Neves; Luciana Salete Buriol; Luciano Paschoal Gaspary; Marinho P. Barcellos,http://ieeexplore.ieee.org/document/6663504/,null
