2021,Concurrency and Computation,"Structural testing for communication events into loops of message-passing parallel programs.",Sílvia M. D. Diaz; Paulo S. L. Souza; Simone R. S. Souza,https://doi.org/10.1002/cpe.6082,null,J,no_arxiv,0
2018,SIGCSE,"Integrating Project Based Learning and Project Management for Software Engineering Teaching: An Experience Report.",Maria Lydia Fioravanti; Bruno Sena; Leo Natan Paschoal; Laíza R. Silva; Ana P. Allian; Elisa Yumi Nakagawa; Simone R. S. Souza; Seiji Isotani; Ellen F. Barbosa,https://doi.org/10.1145/3159450.3159599,null,C,no_arxiv,0
2019,CCGrid,"A Preliminary Fault Taxonomy for Multi-tenant SaaS Systems.",Victor Hugo Santiago C. Pinto; Simone R. S. Souza; Paulo S. L. Souza,https://doi.org/10.1109/CCGRID.2019.00032,null,C,no_arxiv,0
2018,Opt Letters,"A weighting subgradient algorithm for multiobjective optimization.",Glaydston de Carvalho Bento; João Xavier da Cruz Neto; Paulo Sérgio Marques dos Santos; Simone do Rocio Senger de Souza,https://doi.org/10.1007/s11590-017-1133-x,null,J,no_arxiv,0
2017,EJOR,"A relaxed projection method for solving multiobjective optimization problems.",Arnaldo S. Brito; João Xavier da Cruz Neto; Paulo Sérgio Marques dos Santos; Simone do Rocio Senger de Souza,https://doi.org/10.1016/j.ejor.2016.05.026,null,J,no_arxiv,0
2019,IST,"Empirical research on concurrent software testing: A systematic mapping study.",Silvana M. Melo; Jeffrey C. Carver; Paulo S. L. Souza; Simone R. S. Souza,https://doi.org/10.1016/j.infsof.2018.08.017,null,J,no_arxiv,0
2018,SQJ,"Contributions for the structural testing of multithreaded programs: coverage criteria, testing tool, and experimental evaluation.",Silvana Morita Melo; Simone do Rocio Senger de Souza; Felipe S. Sarmanho; Paulo Sergio Lopes de Souza,https://doi.org/10.1007/s11219-017-9376-4,null,J,no_arxiv,0
2017,IST,"A systematic review on search based mutation testing.",Rodolfo Adamshuk Silva; Simone do Rocio Senger de Souza; Paulo Sergio Lopes de Souza,https://doi.org/10.1016/j.infsof.2016.01.017,null,J,no_arxiv,0
