2022,ITiCSE,"DBSnap-Eval: Identifying Database Query Construction Patterns.",Yasin N. Silva; Alexis Loza; Humberto Luiz Razente,https://doi.org/10.1145/3502718.3524822,null,C,no_arxiv,0
2022,Inf. Systems,"Storing data once in M-trees and PM-trees: Revisiting the building principles of metric access methods.",Humberto Luiz Razente; Maria Camila Nardini Barioni; Yasin N. Silva,https://doi.org/10.1016/j.is.2021.101896,null,J,no_arxiv,0
2021,Inf. Systems,"A comprehensive analysis of delayed insertions in metric access methods.",Humberto Luiz Razente; Maria Camila Nardini Barioni; Régis Michel dos Santos Sousa,https://doi.org/10.1016/j.is.2020.101492,null,J,no_arxiv,0
