2023,J. Parallel Distrib. Comput.,"Uncovering I/O demands on HPC platforms: Peeking under the hood of Santos Dumont.",André Ramos Carneiro; Jean Luca Bez; Carla Osthoff; Lucas Mello Schnorr; Philippe O. A. Navaux,https://doi.org/10.1016/j.jpdc.2023.104744,null,J,no_arxiv,0
2020,Future Generation CS,"BioinfoPortal: A scientific gateway for integrating bioinformatics applications on the Brazilian national high-performance computing network.",Kary A. C. S. Ocaña; Marcelo Galheigo; Carla Osthoff; Luiz M. R. Gadelha Jr.; Fábio Porto 0001; Antônio Tadeu A. Gomes; Daniel de Oliveira 0001; Ana Tereza Ribeiro de Vasconcelos,https://doi.org/10.1016/j.future.2020.01.030,null,J,no_arxiv,0
2020,Concurr. & Computation,"An evaluation of MPI and OpenMP paradigms in finite-difference explicit methods for PDEs on shared-memory multi- and manycore systems.",Frederico Luís Cabral; Sanderson L. Gonzaga de Oliveira; Carla Osthoff; Gabriel P. Costa; Diego N. Brandão; Mauricio Kischinhevsky,https://doi.org/10.1002/cpe.5642,null,J,no_arxiv,0
