2018,Machine Learning,"On analyzing user preference dynamics with temporal social networks.",Fabíola Souza F. Pereira; João Gama 0001; Sandra de Amo; Gina M. B. Oliveira,https://doi.org/10.1007/s10994-018-5740-2,null,J,no_arxiv,0
2020,Multimedia Tools Appl.,"Visual analysis for evaluation of community detection algorithms.",Claudio D. G. Linhares; Jean R. Ponciano; Fabíola S. F. Pereira; Luis E. C. Rocha; Jose Gustavo de Souza Paiva; Bruno A. N. Travençolo,https://doi.org/10.1007/s11042-020-08700-4,null,J,no_arxiv,0
2019,Computers & Graphics,"A scalable node ordering strategy based on community structure for enhanced temporal network visualization.",Claudio D. G. Linhares; Jean R. Ponciano; Fabíola S. F. Pereira; Luis E. C. Rocha; Jose Gustavo Paiva; Bruno A. N. Travençolo,https://doi.org/10.1016/j.cag.2019.08.006,null,J,no_arxiv,0
