2021,Expert Systems Appl.,"On novelty detection for multi-class classification using non-linear metric learning.",Samuel Rocha Silva; Thales Vieira; Dimas Martínez Morera; Afonso Paiva 0001,https://doi.org/10.1016/j.eswa.2020.114193,null,J,no_arxiv,0
2020,Applied Soft Comput.,"Evaluating deep models for absenteeism prediction of public security agents.",Edival Lima; Thales Vieira; Evandro de Barros Costa,https://doi.org/10.1016/j.asoc.2020.106236,null,J,no_arxiv,0
2021,Multimedia Tools Appl.,"LRCN-RetailNet: A recurrent neural network architecture for accurate people counting.",Lucas Massa; Adriano Barbosa; Krerley Oliveira; Thales Vieira,https://doi.org/10.1007/s11042-020-09971-7,null,J,http://arxiv.org/abs/2004.09672v2,0
2021,Multimedia Tools Appl.,"Multimodal deep neural networks for attribute prediction and applications to e-commerce catalogs enhancement.",Luiz Felipe Sales; Artur Maia Pereira; Thales Vieira; Evandro de Barros Costa,https://doi.org/10.1007/s11042-021-10885-1,null,J,no_arxiv,0
2022,J. Intelligent & Robotic Syst.,"User-oriented Natural Human-Robot Control with Thin-Plate Splines and LRCN.",Bruno G. C. Lima; Lucas Amaral; Givanildo Nascimento Jr.; Victor Mafra; Bruno Georgevich Ferreira; Tiago F. Vieira; Thales Vieira,https://doi.org/10.1007/s10846-021-01560-6,null,J,no_arxiv,0
