2017,GECCO,"A genetic algorithm for fair land allocation.",Alex Gliesch; Marcus Ritt; Mayron César O. Moreira,https://doi.org/10.1145/3071178.3071313,null,C,no_arxiv,0
2020,Computers & OR,"A multiperiod workforce scheduling and routing problem with dependent tasks.",Dilson Lucas Pereira; Júlio César Alves; Mayron César O. Moreira,https://doi.org/10.1016/j.cor.2020.104930,null,J,no_arxiv,0
2017,Computers & OR,"The multi-objective assembly line worker integration and balancing problem of type-2.",Mayron César O. Moreira; Rafael Pastor 0002; Alysson M. Costa; Cristóbal Miralles,https://doi.org/10.1016/j.cor.2017.01.003,null,J,no_arxiv,0
2015,Computers & OR,"Model and heuristics for the Assembly Line Worker Integration and Balancing Problem.",Mayron César O. Moreira; Cristóbal Miralles; Alysson M. Costa,https://doi.org/10.1016/j.cor.2014.08.021,null,J,no_arxiv,0
