2023,Neural Computing Applications,"Understanding the influence of news on society decision making: application to economic policy uncertainty.",Paul Trust; Ahmed H. Zahran; Rosane Minghim,https://doi.org/10.1007/s00521-023-08438-8,null,J,no_arxiv,0
2022,Neural Computing Applications,"A classification and quantification approach to generate features in soundscape ecology using neural networks.",Fábio Felix Dias; Moacir Antonelli Ponti; Rosane Minghim,https://doi.org/10.1007/s00521-021-06501-w,null,J,no_arxiv,0
