2023,Future Generation CS,"Architecture for IoT applications based on reactive microservices: A performance evaluation.",Cleber Jorge Lira de Santana; Ernando Batista; Flávia Coimbra Delicato; Cássio V. S. Prazeres,https://doi.org/10.1016/j.future.2023.03.026,null,J,no_arxiv,0
2023,SPE,"Data interplay: A model to optimize data usage in the Internet of Things.",Leandro José Silva Andrade; Cleber Jorge Lira de Santana; Brenno de Mello Alencar; Claudio Silva Jr.; Cássio V. S. Prazeres,https://doi.org/10.1002/spe.3193,null,J,no_arxiv,0
2025,Ad Hoc Networks,"Leading the Way: Reducing network traffic in vehicular Ad Hoc networks through cluster leader algorithms.",J. V. G. Ferreira; M. E. S. Freire; Edson M. Cruz; Cássio V. S. Prazeres; Gustavo B. Figueiredo; Maycon Leone Maciel Peixoto,https://doi.org/10.1016/j.adhoc.2025.103932,null,J,no_arxiv,0
