2024,Neural Computing Applications,"Solving the kidney exchange problem via graph neural networks with no supervision.",Pedro Foletto Pimenta; Pedro H. C. Avelar; Luís C. Lamb,https://doi.org/10.1007/s00521-024-09887-5,null,J,http://arxiv.org/abs/2304.09975v1,0
2020,Neural Computing Applications,"Assessing gender bias in machine translation: a case study with Google Translate.",Marcelo O. R. Prates; Pedro H. C. Avelar; Luís C. Lamb,https://doi.org/10.1007/s00521-019-04144-6,null,J,no_arxiv,0
2020,IJCAI,"Graph Neural Networks Meet Neural-Symbolic Computing: A Survey and Perspective.",Luís C. Lamb; Artur S. d'Avila Garcez; Marco Gori; Marcelo O. R. Prates; Pedro H. C. Avelar; Moshe Y. Vardi,https://doi.org/10.24963/ijcai.2020/679,top,C,no_arxiv,0
2019,AAAI,"Learning to Solve NP-Complete Problems: A Graph Neural Network for Decision TSP.",Marcelo O. R. Prates; Pedro H. C. Avelar; Henrique Lemos 0001; Luís C. Lamb; Moshe Y. Vardi,https://doi.org/10.1609/aaai.v33i01.33014731,top,C,no_arxiv,0
2019,ACM Comput. Surveys,"Machine Learning in Network Centrality Measures: Tutorial and Outlook.",Felipe Grando; Lisandro Zambenedetti Granville; Luís C. Lamb,https://doi.org/10.1145/3237192,null,J,http://arxiv.org/abs/1810.11760v1,0
