2022,Expert Systems Appl.,"Multimodal representation learning over heterogeneous networks for tag-based music retrieval.",Angelo Cesar Mendes da Silva; Diego Furtado Silva; Ricardo Marcondes Marcacini,https://doi.org/10.1016/j.eswa.2022.117969,null,J,no_arxiv,0
2025,Inf. Sciences,"One-class graph autoencoder: A new end-to-end, low-dimensional, and interpretable approach for node classification.",Marcos Paulo Silva Gôlo; José Gilberto Barbosa de Medeiros Júnior; Diego Furtado Silva; Ricardo Marcondes Marcacini,https://doi.org/10.1016/j.ins.2025.122060,null,J,no_arxiv,0
2024,Data Min. Knowl. Discov.,"Unsupervised feature based algorithms for time series extrinsic regression.",David Guijo-Rubio; Matthew Middlehurst; Guilherme Arcencio; Diego Furtado Silva; Anthony J. Bagnall,https://doi.org/10.1007/s10618-024-01027-w,null,J,http://arxiv.org/abs/2305.01429v1,0
