2023,ER,"Use of Competency Questions in Ontology Engineering: A Survey.",Glaice Kelly da Silva Quirino; Jordana Sarmenghi Salamon; Monalessa P. Barcellos,https://doi.org/10.1007/978-3-031-47262-6_3,null,C,no_arxiv,0
2022,Data & Knowl. Eng.,"A core ontology on the Human-Computer Interaction phenomenon.",Simone Dornelas Costa; Monalessa Perini Barcellos; Ricardo de Almeida Falbo; Tayana Conte; Káthia M. de Oliveira,https://doi.org/10.1016/j.datak.2021.101977,null,J,no_arxiv,0
2020,ER,"Towards an Ontology Network on Human-Computer Interaction.",Simone Dornelas Costa; Monalessa Perini Barcellos; Ricardo de Almeida Falbo; Murillo Vasconcelos Henriques Bittencourt Castro,https://doi.org/10.1007/978-3-030-62522-1_24,null,C,no_arxiv,0
2021,IST,"From a Scrum Reference Ontology to the Integration of Applications for Data-Driven Software Development.",Paulo Sérgio dos Santos Júnior; Monalessa Perini Barcellos; Ricardo de Almeida Falbo; João Paulo A. Almeida,https://doi.org/10.1016/j.infsof.2021.106570,null,J,no_arxiv,0
