2014,CloudCom,"Prototyping an Autonomic Cloud Infrastructure to Manage Live Streaming Applications Using a Software Defined Network: Performance Analysis and Challenges.",Moisés Rodrigues; Patricia Takako Endo; Jonatas Vitalino; Glauco Estacio Gonçalves; Djamel Sadok; Fetahi Wuhib,https://doi.org/10.1109/CloudCom.2014.97,null,C,no_arxiv,0
2017,Computer Comm.,"Application development for the Internet of Things: A context-aware mixed criticality systems development platform.",Carlos Kamienski; Marc Jentsch; Markus Eisenhauer; Jussi Kiljander; Enrico Ferrera; Peter Rosengren; Jesper Thestrup; Eduardo Souto; Walter S. Andrade; Djamel Sadok,https://doi.org/10.1016/j.comcom.2016.09.014,null,J,no_arxiv,6
2015,Computer Comm.,"Design and optimizations for efficient regular expression matching in DPI systems.",Rafael Antonello; Stenio F. L. Fernandes; Djamel Fawzi Hadj Sadok; Judith Kelner; Géza Szabó,https://doi.org/10.1016/j.comcom.2014.12.011,null,J,no_arxiv,4
