2022,Expert Systems Appl.,"Linear and geometric algebra approaches for sphere and spherical shell intersections in Rn.",Carlile Lavor; Rafael Alves; Leandro A. F. Fernandes,https://doi.org/10.1016/j.eswa.2021.115993,null,J,no_arxiv,0
2024,Computers & Graphics,"From past to present: A tertiary investigation of twenty-four years of image inpainting.",Iany Macedo Barcelos; Taís Bruno Rabelo; Flavia Bernardini; Rodrigo Salvador Monteiro; Leandro Augusto Frata Fernandes,https://doi.org/10.1016/j.cag.2024.104010,null,J,no_arxiv,0
2024,CVIU,"Semantic manipulation through the lens of Geometric Algebra.",Raphael dos S. Evangelista; Andre Luiz da S. Pereira; Rogério Ferreira de Moraes; Leandro A. F. Fernandes,https://doi.org/10.1016/j.cviu.2023.103899,null,J,no_arxiv,0
2023,CVIU,"Improving the planarity and sharpness of monocularly estimated depth images using the Phong reflection model.",Roger Ripas; Leandro A. F. Fernandes,https://doi.org/10.1016/j.cviu.2023.103726,null,J,no_arxiv,0
2023,PRL,"An analysis of ConformalLayers' robustness to corruptions in natural images.",Eduardo Vera Sousa; Cristina Nader Vasconcelos; Leandro A. F. Fernandes,https://doi.org/10.1016/j.patrec.2022.11.002,null,J,no_arxiv,0
