2020,LAK,"Towards automatic content analysis of social presence in transcripts of online discussions.",Maverick Andre Dionisio Ferreira; Vitor Rolim; Rafael Ferreira Mello; Rafael Dueire Lins; Guanliang Chen; Dragan Gasevic,https://doi.org/10.1145/3375462.3375495,null,C,no_arxiv,0
2016,Expert Systems Appl.,"Assessing shallow sentence scoring techniques and combinations for single and multi-document summarization.",Hilário Oliveira; Rafael Ferreira; Rinaldo Lima; Rafael Dueire Lins; Fred Freitas; Marcelo Riss; Steven J. Simske,https://doi.org/10.1016/j.eswa.2016.08.030,null,J,no_arxiv,17
2016,ACM TWEB,"W-tree: A Compact External Memory Representation for Webgraphs.",Bruno Tenório Ávila; Rafael Dueire Lins,https://doi.org/10.1145/2835181,top,J,no_arxiv,0
