2022,Future Generation CS,"A platform for integrating heterogeneous data and developing smart city applications.",Jorge Pereira; Thaís Batista; Everton Cavalcante; Arthur Souza 0001; Frederico Lopes; Nélio Cacho,https://doi.org/10.1016/j.future.2021.10.030,null,J,no_arxiv,0
2024,SPE,"Managing asynchronous workloads in a multi-tenant microservice enterprise environment.",César Batista; Felipe de Morais; Everton Cavalcante; Thaís Batista; Bruno Proença; William Breno Rodrigues Cavalcante,https://doi.org/10.1002/spe.3278,null,J,no_arxiv,0
2022,CLOUD,"SAPPARCHI: an Osmotic Platform to Execute Scalable Applications on Smart City Environments.",Arthur Souza 0001; Nélio Cacho; Thaís Batista; Rajiv Ranjan 0001,https://doi.org/10.1109/CLOUD55607.2022.00051,null,C,no_arxiv,0
2023,ACM TOIT,"Taming Internet of Things Application Development with the IoTvar Middleware.",Pedro Victor Borges 0001; Chantal Taconet; Sophie Chabridon; Denis Conan; Everton Cavalcante; Thaís Batista,https://doi.org/10.1145/3586010,top,J,no_arxiv,0
2022,ACM TOIT,"Fog Computing Platforms for Smart City Applications: A Survey.",Thiago Pereira da Silva; Thaís Vasconcelos Batista; Frederico Lopes; Aluizio Rocha Neto; Flávia Coimbra Delicato; Paulo F. Pires; Atslands Rego da Rocha,https://doi.org/10.1145/3488585,top,J,no_arxiv,0
2020,ICWE,"Web-Based Development and Visualization Dashboards for Smart City Applications.",Douglas Rolim; Jorge Silva; Thaís Batista; Everton Cavalcante,https://doi.org/10.1007/978-3-030-50578-3_23,null,C,no_arxiv,0
2024,JSEP,"Looking back and forward: A retrospective and future directions on software engineering for systems-of-systems.",Everton Cavalcante; Thaís Batista; Flávio Oquendo,https://doi.org/10.1002/smr.2697,null,J,no_arxiv,0
2020,SCP,"On the verification of mission-related properties in software-intensive systems-of-systems architectural design.",Eduardo Silva 0001; Thaís Batista; Flávio Oquendo,https://doi.org/10.1016/j.scico.2020.102425,null,J,no_arxiv,0
