2018,Concurrency and Computation,"GPU-accelerated backtracking using CUDA Dynamic Parallelism.",Tiago Carneiro Pessoa; Jan Gmys; Francisco Heron de Carvalho Junior; Nouredine Melab; Daniel Tuyttens,https://doi.org/10.1002/cpe.4374,null,J,no_arxiv,1
2013,J. Parallel Distrib. Comput.,"A case study on expressiveness and performance of component-oriented parallel programming.",Francisco Heron de Carvalho Junior; Cenez Araújo Rezende,https://doi.org/10.1016/j.jpdc.2012.12.007,null,J,no_arxiv,2
2016,Sci. of Comput. Program.,"Performance evaluation of virtual execution environments for intensive computing on usual representations of multidimensional arrays.",Francisco Heron de Carvalho Junior; Cenez Araújo Rezende,https://doi.org/10.1016/j.scico.2016.04.005,null,J,no_arxiv,0
2016,Sci. of Comput. Program.,"Contextual abstraction in a type system for component-based high performance computing platforms.",Francisco Heron de Carvalho Junior; Cenez Araújo Rezende; Jefferson de Carvalho Silva; Wagner Guimarães Al-Alam; João Marcelo U. de Alencar,https://doi.org/10.1016/j.scico.2016.07.005,null,J,no_arxiv,1
2014,Sci. of Comput. Program.,"An object-oriented parallel programming language for distributed-memory parallel computing platforms.",Eduardo Gurgel Pinho; Francisco Heron de Carvalho Junior,https://doi.org/10.1016/j.scico.2013.03.014,null,J,no_arxiv,1
